inception_date,currency,risk_classification,min_initial_participation,remarks,min_additional_participation,min_maintaining_balance,min_holding_period,cutoff_time_for_participationredemption,settlement_date,trust_fee_structure,early_redemption_fee,benchmark,fund_name,classification,navpu,bank,url
"Jul 28, 2014",USD,Aggressive,USD 100.00,,USD 50.00,USD 100.00,0 banking days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"MSCI AC World Index, Net Dividends																	",ATRAM Global Equity Opportunity Feeder Fund (USD Unit Class),Feeder Fund - Equity,1.463182,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=232&bank_id=31
"Dec 15, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,MSCI AC World (Net) Total Return				,Manulife Global Thematic Opportunities Equity Feeder Fund (Php Unhedged Class I),Feeder Fund - Equity,59.4078,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=472&bank_id=39
"Sep 9, 2022",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.25% as a % p.a. of the NAV,N/A,MSCI AC World (Net) Total Return								,Manulife Global Clean Energy Equity Feeder Fund (USD Class A),Feeder Fund - Equity,0.9743,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=457&bank_id=39
"Apr 29, 2022",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.25% as a % p.a. of the NAV,N/A,MSCI AC World (Net) Total Return										,Manulife Global Thematic Opportunities Equity Feeder Fund (USD Class A),Feeder Fund - Equity,0.9514,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=444&bank_id=39
"Jan 20, 2022",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.25% as a % p.a. of the NAV,N/A,MSCI World Information Technology Index														,Manulife Global Technology Equity Feeder Fund (USD Class A),Feeder Fund - Equity,0.833,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=436&bank_id=39
"Aug 17, 2021",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI India 10/40 Index								,Manulife India Equity Feeder Fund (USD Class A),Feeder Fund - Equity,0.9685,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=426&bank_id=39
"Jul 21, 2021",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A,100% S&P Developed Property Index										,Manulife Global REIT Feeder Fund (USD Class A),Feeder Fund - Equity,0.7438,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=423&bank_id=39
"May 10, 2021",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,N/A,N/A,S&P 500 Index 									,Manulife American Growth Equity Feeder Fund (USD Class I),Feeder Fund - Equity,0.9761,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=417&bank_id=39
"May 10, 2021",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,N/A,N/A,MSCI Zhong Hua Index											,Manulife Dragon Growth Equity Feeder Fund (USD Class I),Feeder Fund - Equity,0.5062,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=415&bank_id=39
"Jan 18, 2021",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A ,MSCI World/Healthcare NR USD Index																	,Manulife Global Healthcare Equity Feeder Fund (USD Class A),Feeder Fund - Equity,1.0871,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=398&bank_id=39
"May 15, 2019",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,S&P 500 Index								,Manulife American Growth Equity Feeder Fund (USD Class A),Feeder Fund - Equity,1.4524,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=362&bank_id=39
"Dec 10, 2018",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI Zhong Hua Index								,Manulife Dragon Growth Equity Feeder Fund (USD Class A),Feeder Fund - Equity,0.8114,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=352&bank_id=39
"Apr 23, 2020",USD,Aggressive,USD 500.00,,USD 200.00,USD 500.00,30 calendar days,11:59 PM,5 banking days from date of redemption or T+5,0.50%,"USD 10 or 0.25% of the redemption amount, whichever is higher",S & P 500 Index										,EastWest S&P 500 Index Equity Feeder Fund,Feeder Fund - Equity,152.1082,EastWest Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=386&bank_id=8
"Feb 1, 2021",USD,Aggressive,USD 100.00,,USD 0.00,USD 100.00,0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+5 (end of day),1.00% p.a.,None,MSCI World Health Care Index						,BPI GLOBAL HEALTH CARE FEEDER FUND,Feeder Fund - Equity,85.03,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=401&bank_id=3
"Feb 1, 2021",USD,Aggressive,USD 100.00,,USD 0.00,USD 100.00,0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+5 (end of day),1.00% p.a.,none,MSCI All Country World Information Technology Index						,BPI WORLD TECHNOLOGY FEEDER FUND,Feeder Fund - Equity,75.2,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=400&bank_id=3
"Aug 5, 2014",USD,Aggressive,USD 100.00,,USD 0.00,USD 100.00,0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+5 (end of day),0.75% p.a.,None,MSCI Europe Index						,BPI EUROPEAN EQUITY FEEDER FUND,Feeder Fund - Equity,139.73,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=236&bank_id=3
"Aug 5, 2014",USD,Aggressive,USD 100.00,,USD 0.00,USD 100.00,0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+5 (end of day),0.75% p.a.,None,S&P® 500 Index					,BPI US EQUITY INDEX FEEDER FUND CLASS A (USD CLASS),Feeder Fund - Equity,231.81,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=235&bank_id=3
"May 20, 2008",USD,Aggressive,USD 100.00,,USD 0.00,USD 100.00,0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+6 (end of day),1.10% p.a.,None,MSCI AC Asia Pacific ex-Japan High Dividend Net Return USD Index							,ODYSSEY ASIA PACIFIC HIGH DIVIDEND EQUITY FEEDER FUND,Feeder Fund - Equity,11.5,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=67&bank_id=3
"Jun 26, 2019",USD,Balanced,USD 500.00,,USD 500.00,USD 500.00,0 calendar days,02:30 PM,Five (5) banking days after redemption valuation date (T + 5),0.50% p.a.,0%,MSCI Emerging Markets Index										,BDO GLOBAL EM EQUITY INDEX FEEDER FUND,Feeder Fund - Equity,95.9991,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=367&bank_id=6
"Feb 28, 2018",USD,Balanced,USD 500.00,,USD 500.00,USD 500.00,0 calendar days,02:30 PM,Five (5) banking days after redemption valuation date (T + 5),0.50% p.a. ,0%,MSCI World Index 												,BDO GLOBAL EQUITY INDEX FEEDER FUND,Feeder Fund - Equity,142.6679,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=326&bank_id=6
"Jul 26, 2017",USD,Balanced,USD 500.00,,USD 500.00,USD 500.00,0 calendar days,02:30 PM,Five (5) banking days after redemption valuation date (T + 5),1.00% p.a.,0%,MSCI Europe Index										,BDO EUROPE EQUITY FEEDER FUND,Feeder Fund - Equity,124.6747,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=304&bank_id=6
"Apr 18, 2016",USD,Balanced,USD 500.00,,USD 500.00,USD 500.00,0 calendar days,02:30 PM,Five (5) banking days after redemption valuation date (T + 5),0.50% p.a.,0%,S&P 500 Index								,BDO US EQUITY INDEX FEEDER FUND,Feeder Fund - Equity,116.0942,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=272&bank_id=6
"Oct 29, 2015",USD,Balanced,USD 500.00,,USD 500.00,USD 500.00,0 calendar days,02:30 PM,Five (5) banking days after redemption valuation date (T + 5),1.00% p.a.,0%,80% MSCI China Index and 20% CSI 300 Index										,BDO CHINA EQUITY FEEDER FUND,Feeder Fund - Equity,85.468,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=261&bank_id=6
"Apr 30, 2015",USD,Balanced,USD 500.00,,USD 500.00,USD 500.00,0 calendar days,02:30 PM,Five (5) banking days after redemption valuation date (T + 5),0.50% p.a.,0%,FTSE EPRA/NAREIT Developed Markets Index																,BDO DEVELOPED MARKETS PROPERTY INDEX FEEDER FUND,Feeder Fund - Equity,99.1604,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=253&bank_id=6
"Oct 23, 2015",USD,Aggressive,USD 100.00,,USD 50.00,USD 100.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"Russel 3000 Growth Index, Gross Dividends											",ATRAM US Equity Opportunity Feeder Fund,Feeder Fund - Equity,2.028437,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=260&bank_id=31
"Apr 30, 2019",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"1/3 MSCI USA 500 Index, 1/3 Bloomberg US High Yield Index, 1/3 Bloomberg US Convertibles Composite Total Return Index							",ATRAM US Multi,Feeder Fund - Fixed Income,113.268125,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=361&bank_id=31
"Jan 9, 2023",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI ACWI NR USD Index						,Manulife Global Dynamic Leaders Equity Feeder Fund (USD Class A),Feeder Fund - Equity,1.0831,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=475&bank_id=39
"Jul 28, 2014",USD,Moderate,"USD 3,000.00",,USD 50.00,"USD 3,000.00",0 banking days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",0.65% p.a.,none,Secured Overnight Financing Rate			,ATRAM Global Total Return Bond Feeder Fund,Feeder Fund - Fixed Income,0.611501,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=233&bank_id=31
"Jun 11, 2019",PHP,Aggressive,"PHP 5,000.00",,"PHP 1,000.00","PHP 1,000.00",30 calendar days,11:30 AM,T + 4,1.00% p.a.,0.50% of the net proceeds, PSEi						,Sterling Bank Philequity Feeder Fund,Feeder Fund - Fixed Income,0.77113,Sterling Bank of Asia,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=370&bank_id=33
"Aug 27, 2015",PHP,Moderate,"PHP 1,000.00",,PHP 500.00,"PHP 1,000.00",0 calendar days,12:00 PM,T + 1,None,None,Markit iBoxx ALBI Philippines 1-5						,Metro Aspire Bond Feeder Fund,Feeder Fund - Fixed Income,1.158036,Metropolitan Bank & Trust Co.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=267&bank_id=1
"Jul 27, 2018",PHP,Moderate,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",0 banking days,11:30 AM,T+3,0.50% p.a. ,Not Applicable,98% Bloomberg Sovereign Bond Index 1-5 Year (net of tax) + 2% Philippine Peso TD Rate 1-3 months (net of tax),Maybank Tiger Peso Bond Feeder Fund,Feeder Fund - Fixed Income,1.153235,Maybank Philippines Inc.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=342&bank_id=40
"Jul 27, 2018",PHP,Moderate,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",7 banking days,11:30 AM,T+1,0.25% p.a. ,0.25% of redemption proceeds,90% Philippine Peso TD Rate 1-3 months (net of tax),Maybank Tiger Peso Money Market Feeder Fund,Feeder Fund - Fixed Income,1.118541,Maybank Philippines Inc.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=341&bank_id=40
"Dec 16, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.00% as a % p.a. of the NAV,N/A,JACI Investment Grade 1-3 Years Index									,Manulife Asia Short Duration Bond Feeder Fund (PHP Unhedged Class A),Feeder Fund - Fixed Income,56.7015,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=469&bank_id=39
"Oct 18, 2018",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.50% as a % p.a. of the NAV,N/A,50% JP Morgan Emerging LocalMarkets Index Plus (Asia) + 50% JP Morgan Asia Credit Index (USD)								,Manulife Asia Dynamic Bond Feeder Fund (PHP Unhedged Class A),Feeder Fund - Fixed Income,55.337,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=349&bank_id=39
"May 22, 2019",PHP,Moderately Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,Subscription: T + 0 business days; Redemption: T + 5 to 7 business days,0.90% p.a.,none,"Bloomberg Global Credit Index, USD Hedged											",ATRAM Global Bond Income Feeder Fund,Feeder Fund - Fixed Income,88.323687,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=364&bank_id=31
"Apr 30, 2019",PHP,Moderately Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.15% p.a.,none,"25% MSCI World Index, Net Dividends, USD Hedged, 15% MSCI Emerging Markets, Net Dividends, 40% Bloomberg US Corporate High Yield 2% Issuer Capped Bond Total and 20% Bloomberg EM Hard Currency Aggregate Index								",ATRAM Global Multi,Feeder Fund - Multi-Asset,93.858294,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=360&bank_id=31
"Feb 1, 2023",USD,Moderate,USD 500.00,,USD 100.00,USD 500.00,7 calendar days,12:00 PM,T + 1,0.35% per annum,0.25% of the redemption proceeds,30-day USD deposit rate						,Rbank Dollar Short Term Feeder Fund,Feeder Fund - Fixed Income,100.974433,Robinsons Bank,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=476&bank_id=34
"Nov 8, 2019",USD,Aggressive,"USD 1,000,000.00",,"USD 1,000.00","USD 1,000,000.00",30 calendar days,02:30 PM,T + 7 business days,0.6875%,0.50% based on redemption amount,JP Morgan Asia Credit Index Non-Investment Grade			,PRUInvest USD High Yield Asian Bond Feeder Fund (Class I),Feeder Fund - Fixed Income,0.5738,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=380&bank_id=41
"Nov 8, 2019",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",30 calendar days,02:30 PM,T + 7 business days,1.375%,0.50% based on redemption amount,JP Morgan Asia Credit Index Non-Investment Grade,PRUInvest USD High Yield Asian Bond Feeder Fund (Class A),Feeder Fund - Fixed Income,0.5339,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=378&bank_id=41
"Feb 14, 2018",USD,Aggressive,USD 500.00,,USD 100.00,USD 500.00,7 calendar days,12:00 PM,T + 4,0.50% p.a. based on Net Asset Value (NAV),50% of income on redeemed amount ,Markit iBoxx USD Liquid Investment Grade Index (IBOXIG Index)													,Metro$ US Investment Grade Corporate Bond Feeder Fund,Feeder Fund - Fixed Income,0.940734,Metropolitan Bank & Trust Co.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=325&bank_id=1
"May 16, 2022",USD,Moderate,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,11:30 AM,T+7,None,None,JP Morgan Asia Credit Index		,Maybank Tiger USD Asian Income Feeder Fund,Feeder Fund - Fixed Income,0.9398,Maybank Philippines Inc.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=445&bank_id=40
"Jul 27, 2018",USD,Moderate,"USD 1,000.00",,USD 200.00,"USD 1,000.00",0 banking days,11:30 AM,T+4,0.50% p.a.,Not Applicable,98% Bloomberg	Barclays EM USD Sovereign; Philippines Total Return Index Unhedged USD + 2% 30-Day US Dollar Deposit Savings Rate,Maybank Tiger Dollar Bond Feeder Fund,Feeder Fund - Fixed Income,0.912618,Maybank Philippines Inc.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=343&bank_id=40
"Dec 16, 2022",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.00% as a % p.a. of the NAV,N/A,JACI Investment Grade 1-3 Years Index					,Manulife Asia Short Duration Bond Feeder Fund (USD Class A),Feeder Fund - Fixed Income,0.996,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=468&bank_id=39
"Oct 18, 2018",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.50% as a % p.a. of the NAV,N/A,50% JP Morgan Emerging LocalMarkets Index Plus (Asia) + 50% JP Morgan Asia Credit Index (USD)									,Manulife Asia Dynamic Bond Feeder Fund (USD Class A),Feeder Fund - Fixed Income,0.9733,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=348&bank_id=39
"Mar 18, 2021",USD,Moderate,"USD 3,000.00",,USD 50.00,"USD 3,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 3 business days",0.65% p.a.,none,Secured Overnight Financing Rate					,ATRAM Global Access Bond Income Feeder Fund,Feeder Fund - Fixed Income,0.896039,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=411&bank_id=31
"Jul 28, 2014",USD,Aggressive,USD 100.00,,USD 50.00,USD 100.00,0 banking days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,36% MSCI USA 500 Index; 24% FTSE World (ex-US); 24% Bloomberg U.S. Treasury Bellwethers: 5 Year; 16% FTSE Non-USD World Government Bond Index																		,ATRAM Global Allocation Feeder Fund (USD Unit Class),Feeder Fund - Multi-Asset,1.284335,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=234&bank_id=31
"Aug 27, 2015",PHP,Aggressive,"PHP 1,000.00",,PHP 500.00,"PHP 1,000.00",0 calendar days,12:00 PM,T + 3,None,None,60% Philippine Stock Exchange Index (PSEi) and 40%  Markit iBoxx ALBI Philippines 1-5												,Metro Aspire Balanced Feeder Fund,Feeder Fund - Multi-Asset,0.956087,Metropolitan Bank & Trust Co.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=268&bank_id=1
"May 23, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,50% MSCI World GR (USD) Index and 50% Bloomberg Barclays Global Aggregate Bond (USD Hedged) Index									,Manulife Global Multi,Feeder Fund - Multi-Asset,55.1778,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=447&bank_id=39
"Feb 8, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A,50% MSCI World GR (USD) Index and 50% Bloomberg Barclays Global Aggregate Bond (USD Hedged) Index																						,Manulife Global Multi,Feeder Fund - Multi-Asset,50.709,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=403&bank_id=39
"Oct 15, 2019",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,50% BoFA Merrill Lynch Fixed Rate Preferred Securities Index + 50% BoFA Merrill Lynch US Capital Securities Index 												,Manulife Global Preferred Income Feeder Fund (PHP Unhedged Class I),Feeder Fund - Multi-Asset,48.3438,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=369&bank_id=39
"Mar 25, 2019",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,50% BoFA Merrill Lynch Fixed Rate Preferred Securities Index + 50% BoFA Merrill Lynch US Capital Securities Index														,Manulife Global Preferred Income Feeder Fund (PHP Unhedged Class A),Feeder Fund - Multi-Asset,49.0659,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=357&bank_id=39
"Aug 1, 2017",PHP,Moderate,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,11:00 AM,T + 4,1.00%,0.50%,		50% Bloomberg Philippine Sovereign Bond Index + 50% Philippine Stock Exchange Index				,CTBC Bank,Feeder Fund - Multi-Asset,0.8542,CTBC Bank (Philippines) Corp.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=317&bank_id=36
"Jul 12, 2022",PHP,Aggressive,"PHP 1,000.00",,PHP 50.00,"PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% per annum,none,50% MSCI AC Asia Pacific ex Japan Index and 50% Bloomberg EM Asia Index				,ATRAM Asian Multi,Feeder Fund - Multi-Asset,91.042143,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=450&bank_id=31
"Oct 27, 2021",PHP,Aggressive,"PHP 1,000.00",,PHP 500.00,PHP 0.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,36% MSCI USA 500 Index; 24% FTSE World (ex-US); 24% Bloomberg U.S. Treasury Bellwethers: 5 Year; 16% FTSE Non-USD World Government Bond Index																,ATRAM Global Allocation Feeder Fund (PHP Unit Class),Feeder Fund - Multi-Asset,92.493885,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=433&bank_id=31
"Apr 4, 2005",PHP,Moderately Conservative,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+0; Redemption: T+0 (end of day),1.50% p.a.,None,BPI Philippine Government Bond 1-3 Year Index				,BPI PREMIUM BOND FUND,Fixed Income Fund - Intermediate Term,201.02,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=49&bank_id=3
"Jul 2, 2021",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,50% MSCI World GR (USD) Index and 50% Bloomberg Barclays Global Aggregate Bond (USD Hedged) Index							,Manulife Global Multi,Feeder Fund - Multi-Asset,0.8756,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=421&bank_id=39
"Feb 8, 2021",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A,50% MSCI World GR (USD) Index and 50% Bloomberg Barclays Global Aggregate Bond (USD Hedged) Index																		,Manulife Global Multi,Feeder Fund - Multi-Asset,0.8943,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=402&bank_id=39
"Feb 12, 2020",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,50% BoFA Merrill Lynch Fixed Rate Preferred Securities Index + 50% BoFA Merrill Lynch US Capital Securities Index										,Manulife Global Preferred Income Feeder Fund (USD Class I),Feeder Fund - Multi-Asset,0.8147,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=384&bank_id=39
"Mar 25, 2019",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,50% BoFA Merrill Lynch Fixed Rate Preferred Securities Index + 50% BoFA Merrill Lynch US Capital Securities Index													,Manulife Global Preferred Income Feeder Fund (USD Class A),Feeder Fund - Multi-Asset,0.8606,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=358&bank_id=39
"Aug 1, 2018",USD,Aggressive,"USD 1,000.00",,USD 500.00,"USD 1,000.00",180 calendar days,02:00 PM,Subscription: T+1; Redemption: T+7 (end of day),1.00 % p.a.,1.00% of net asset value of units redeemed,35% MSCI World Index (USD Hedged) + 5% MSCI Emerging Markets Index (Unhedged) +25% Bloomberg Barclays Global Aggregate Corporate Index (USD Hedged) + 15% Bloomberg Barclays Global High Yield index (USD Hedged) + 20% FTSE World Government Bond 10+ Years In,BPI US DOLLAR INCOME FEEDER FUND,Feeder Fund - Multi-Asset,73.43,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=346&bank_id=3
"Feb 14, 2020",USD,Moderately Aggressive,"USD 3,000.00",,USD 50.00,"USD 3,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.15% p.a.,none,"25% MSCI World Index, Net Dividends, USD Hedged, 15% MSCI Emerging Markets, Net Dividends, 40% Bloomberg US Corporate High Yield 2% Issuer Capped Bond Total and 20% Bloomberg EM Hard Currency Aggregate Index											",ATRAM Global Multi,Feeder Fund - Multi-Asset,0.853038,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=383&bank_id=31
"Mar 18, 2005",USD,Moderate,"USD 2,000.00",,USD 200.00,"USD 2,000.00",30 calendar days,12:00 PM,T+3,0.50% p.a. of the market value of the fund,"$10.00 or 0.25% of the withdrawn amount, whichever is higher",25% Bloomberg USD Emerging Market Philippines Sovereign Bond Index + 75% Average Philippine USD Savings Deposit Rate.	,EastWest Dollar Intermediate Term Bond Fund,Fixed Income Fund - Intermediate Term,139.4178,EastWest Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=174&bank_id=8
"Mar 8, 2021",PHP,Moderate,"PHP 50,000,000.00",,"PHP 10,000.00","PHP 50,000,000.00",30 calendar days,02:30 PM,T + 4 business days,0.375%,0.50% based on redemption amount,BLOOMBERG Philippine Sovereign Bond Index 1 to 5 years (BPHIL15 Index)			,PRUInvest PHP Intermediate Term Bond Fund (Class I),Fixed Income Fund - Intermediate Term,1.0365,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=408&bank_id=41
